Effective date ,value
3/31/2011,133.25
4/1/2011,133.06
4/4/2011,133.36
4/5/2011,132.69
4/6/2011,131.87
4/7/2011,131.86
4/8/2011,132.2
4/11/2011,132.17
4/12/2011,131.44
4/13/2011,131.11
4/14/2011,131.42
4/15/2011,132.27
4/18/2011,130.5
4/19/2011,130.42
4/20/2011,130.99
4/21/2011,131.38
4/25/2011,131.07
4/26/2011,132.98
4/27/2011,134.75
4/28/2011,135.01
4/29/2011,134.14
5/2/2011,133.94
5/3/2011,135.93
5/4/2011,135.59
5/5/2011,133.82
5/6/2011,134.12
5/9/2011,134.5
5/10/2011,135.97
5/11/2011,134.78
5/12/2011,135.65
5/13/2011,134.91
5/16/2011,133.81
5/17/2011,134.21
5/18/2011,134.6
5/19/2011,135.45
5/20/2011,135.35
5/23/2011,134.47
5/24/2011,135.11
5/25/2011,134.21
5/26/2011,135.03
5/27/2011,135.38
5/31/2011,136.34
6/1/2011,134.43
6/2/2011,133.85
6/3/2011,131.63
6/6/2011,130.33
6/7/2011,130.01
6/8/2011,130.24
6/9/2011,130.13
6/10/2011,129.2
6/13/2011,130.06
6/14/2011,130.81
6/15/2011,129.12
6/16/2011,129.31
6/17/2011,130.31
6/20/2011,131.03
6/21/2011,132.09
6/22/2011,131.41
6/23/2011,131.13
6/24/2011,130.12
6/27/2011,131.52
6/28/2011,132.41
6/29/2011,133.23
6/30/2011,134.34
7/1/2011,136.09
7/5/2011,135.81
7/6/2011,134.79
7/7/2011,134.78
7/8/2011,134.36
7/11/2011,132.83
7/12/2011,132.63
7/13/2011,132.47
7/14/2011,131.51
7/15/2011,131
7/18/2011,129.95
7/19/2011,130.98
7/20/2011,130.93
7/21/2011,131.52
7/22/2011,130.89
7/25/2011,129.11
7/26/2011,129.31
7/27/2011,128.8
7/28/2011,125.91
7/29/2011,125.38
8/1/2011,126.53
8/2/2011,124.16
8/3/2011,125.38
8/4/2011,121.27
8/5/2011,121.74
8/8/2011,115.22
8/9/2011,120.24
8/10/2011,116.95
8/11/2011,119.89
8/12/2011,119.31
8/15/2011,122.1
8/16/2011,121.76
8/17/2011,123.75
8/18/2011,120.61
8/19/2011,119.04
8/22/2011,120.04
8/23/2011,123.21
8/24/2011,124.85
8/25/2011,122.77
8/26/2011,122.98
8/29/2011,124.5
8/30/2011,125.73
8/31/2011,123.68
9/1/2011,122.47
9/2/2011,121.14
9/6/2011,119.86
9/7/2011,121.24
9/8/2011,120.54
9/9/2011,119.15
9/12/2011,119.92
9/13/2011,121.31
9/14/2011,121.89
9/15/2011,122.98
9/16/2011,124.48
9/19/2011,123.16
9/20/2011,123.77
9/21/2011,121.22
9/22/2011,119.02
9/23/2011,119.86
9/26/2011,121.67
9/27/2011,123.12
9/28/2011,122.35
9/29/2011,123.37
9/30/2011,122.01
10/3/2011,119.8
10/4/2011,120.46
10/5/2011,120.1
10/6/2011,120.77
10/7/2011,120.36
10/10/2011,122.93
10/11/2011,121.68
10/12/2011,122.85
10/13/2011,123.63
10/14/2011,124.32
10/17/2011,123.43
10/18/2011,124.45
10/19/2011,123.74
10/20/2011,123.59
10/21/2011,124.6
10/24/2011,123.51
10/25/2011,121.33
10/26/2011,122.65
10/27/2011,125.74
10/28/2011,126.31
10/31/2011,124.16
11/1/2011,122.15
11/2/2011,123.72
11/3/2011,125.74
11/4/2011,124.75
11/7/2011,125.78
11/8/2011,126.18
11/9/2011,123.75
11/10/2011,124.9
11/11/2011,126.12
11/14/2011,124.77
11/15/2011,125.34
11/16/2011,123.34
11/17/2011,122.71
11/18/2011,122.45
11/21/2011,121.17
11/22/2011,120.65
11/23/2011,118.11
11/25/2011,117.82
11/28/2011,120.33
11/29/2011,121.19
11/30/2011,125.14
12/1/2011,124.64
12/2/2011,124.6
12/5/2011,125.51
12/6/2011,125.88
12/7/2011,126.14
12/8/2011,123.92
12/9/2011,125.1
12/12/2011,124.76
12/13/2011,124.65
12/14/2011,123.86
12/15/2011,124.13
12/16/2011,124.69
12/19/2011,123.77
12/20/2011,126.1
12/21/2011,126.64
12/22/2011,127.68
12/23/2011,128.89
12/27/2011,129.33
12/28/2011,128.46
12/29/2011,129.57
12/30/2011,129.82
1/3/2012,129.91
1/4/2012,129.19
1/5/2012,128.54
1/6/2012,126.28
1/9/2012,126.22
1/10/2012,126.78
1/11/2012,127.7
1/12/2012,128.07
1/13/2012,127.96
1/17/2012,128.48
1/18/2012,128.92
1/19/2012,129.11
1/20/2012,129.31
1/23/2012,128.3
1/24/2012,126.6
1/25/2012,126.99
1/26/2012,124.61
1/27/2012,123.74
1/30/2012,124.49
1/31/2012,124.71
2/1/2012,125.59
2/2/2012,125.71
2/3/2012,126.66
2/6/2012,127.08
2/7/2012,127.09
2/8/2012,127.07
2/9/2012,126.99
2/10/2012,126.24
2/13/2012,127.28
2/14/2012,127.17
2/15/2012,126.52
2/16/2012,127.35
2/17/2012,128.14
2/21/2012,128.87
2/22/2012,128.25
2/23/2012,129.08
2/24/2012,128.96
2/27/2012,129.07
2/28/2012,129.49
2/29/2012,129.35
3/1/2012,129.77
3/2/2012,130.36
3/5/2012,130.7
3/6/2012,129.6
3/7/2012,130.27
3/8/2012,131.14
3/9/2012,131.78
3/12/2012,132.46
3/13/2012,133.27
3/14/2012,132.59
3/15/2012,133.15
3/16/2012,133.14
3/19/2012,133.31
3/20/2012,133.5
3/21/2012,133.93
3/22/2012,133.32
3/23/2012,132.58
3/26/2012,133.31
3/27/2012,132.14
3/28/2012,130.86
