Effective date ,value
2011-03-31,308.4
2011-04-01,310.63
2011-04-04,311.06
2011-04-05,312.26
2011-04-06,311.58
2011-04-07,310.54
2011-04-08,308.81
2011-04-11,308.58
2011-04-12,308.09
2011-04-13,309.12
2011-04-14,308.35
2011-04-15,310.19
2011-04-18,307.29
2011-04-19,308.07
2011-04-20,313.41
2011-04-21,315.41
2011-04-25,314.75
2011-04-26,315.58
2011-04-27,319.14
2011-04-28,320.51
2011-04-29,320.38
2011-05-02,321.38
2011-05-03,319.75
2011-05-04,318.54
2011-05-05,317.96
2011-05-06,318.01
2011-05-09,318.49
2011-05-10,322.48
2011-05-11,319.84
2011-05-12,322.58
2011-05-13,320.39
2011-05-16,315.83
2011-05-17,316.28
2011-05-18,319.92
2011-05-19,320.98
2011-05-20,317.93
2011-05-23,314.95
2011-05-24,313.29
2011-05-25,313.33
2011-05-26,315.86
2011-05-27,316.85
2011-05-31,318.91
2011-06-01,311.63
2011-06-02,310.92
2011-06-03,306.62
2011-06-06,303.62
2011-06-07,303.99
2011-06-08,301.52
2011-06-09,303.84
2011-06-10,298.24
2011-06-13,297.77
2011-06-14,302.94
2011-06-15,298.46
2011-06-16,297.83
2011-06-17,299.88
2011-06-20,302.48
2011-06-21,308.56
2011-06-22,306.09
2011-06-23,307.29
2011-06-24,304.2
2011-06-27,307.94
2011-06-28,313.69
2011-06-29,315
2011-06-30,317.89
2011-07-01,324.16
2011-07-05,325.44
2011-07-06,324.49
2011-07-07,328.81
2011-07-08,326.79
2011-07-11,320.37
2011-07-12,319.03
2011-07-13,320.67
2011-07-14,318.23
2011-07-15,318.48
2011-07-18,315.09
2011-07-19,321.33
2011-07-20,319.47
2011-07-21,323.2
2011-07-22,324.49
2011-07-25,322.5
2011-07-26,321.89
2011-07-27,316.2
2011-07-28,314.58
2011-07-29,313.21
2011-08-01,311.42
2011-08-02,300.01
2011-08-03,302
2011-08-04,287.37
2011-08-05,287.76
2011-08-08,268.57
2011-08-09,281.54
2011-08-10,269.22
2011-08-11,281.38
2011-08-12,284.72
2011-08-15,288.81
2011-08-16,287.55
2011-08-17,286.7
2011-08-18,272.51
2011-08-19,268.76
2011-08-22,269.64
2011-08-23,279.97
2011-08-24,284.58
2011-08-25,279.04
2011-08-26,284.95
2011-08-29,293.2
2011-08-30,294.36
2011-08-31,296.14
2011-09-01,292.31
2011-09-02,284.25
2011-09-06,283.1
2011-09-07,290.5
2011-09-08,286.6
2011-09-09,278.86
2011-09-12,282.14
2011-09-13,285.44
2011-09-14,290.14
2011-09-15,295.21
2011-09-16,298.15
2011-09-19,298.04
2011-09-20,296.27
2011-09-21,287.33
2011-09-22,277.89
2011-09-23,282.38
2011-09-26,288.52
2011-09-27,290.82
2011-09-28,286.02
2011-09-29,283.58
2011-09-30,275.53
2011-10-03,267.58
2011-10-04,275.89
2011-10-05,280.96
2011-10-06,287.24
2011-10-07,286.74
2011-10-10,296.84
2011-10-11,297.71
2011-10-12,300.86
2011-10-13,300.34
2011-10-14,305.52
2011-10-17,299.64
2011-10-18,305.13
2011-10-19,300.72
2011-10-20,302.05
2011-10-21,310.52
2011-10-24,314.87
2011-10-25,307.84
2011-10-26,306.74
2011-10-27,314.87
2011-10-28,312.81
2011-10-31,308.06
2011-11-01,301.16
2011-11-02,304.6
2011-11-03,308.54
2011-11-04,307.5
2011-11-07,308.89
2011-11-08,312.26
2011-11-09,300.94
2011-11-10,303.73
2011-11-11,311.37
2011-11-14,309.21
2011-11-15,310.31
2011-11-16,304.32
2011-11-17,299.24
2011-11-18,298.85
2011-11-21,294.24
2011-11-22,294.06
2011-11-23,287.84
2011-11-25,286.72
2011-11-28,295.42
2011-11-29,295.93
2011-11-30,305.39
2011-12-01,305.46
2011-12-02,307.8
2011-12-05,310.45
2011-12-06,309.8
2011-12-07,311.28
2011-12-08,304.94
2011-12-09,309.8
2011-12-12,308.87
2011-12-13,302.78
2011-12-14,299.19
2011-12-15,299.72
2011-12-16,300.11
2011-12-19,296.44
2011-12-20,304.75
2011-12-21,305.79
2011-12-22,306.7
2011-12-23,310.1
2011-12-27,310.71
2011-12-28,307.01
2011-12-29,310.27
2011-12-30,308.58
2012-01-03,311.47
2012-01-04,313.71
2012-01-05,315.99
2012-01-06,316.53
2012-01-09,316.51
2012-01-10,318.45
2012-01-11,318.83
2012-01-12,319.82
2012-01-13,318.87
2012-01-17,320.35
2012-01-18,325.35
2012-01-19,328.39
2012-01-20,325.88
2012-01-23,325.2
2012-01-24,326.35
2012-01-25,328.47
2012-01-26,328.2
2012-01-27,327.47
2012-01-30,326.91
2012-01-31,326.65
2012-02-01,327.66
2012-02-02,327.36
2012-02-03,333.89
2012-02-06,333.42
2012-02-07,334.78
2012-02-08,335.58
2012-02-09,336.2
2012-02-10,334.61
2012-02-13,337.05
2012-02-14,336.75
2012-02-15,335.08
2012-02-16,336.86
2012-02-17,339.68
2012-02-21,338.62
2012-02-22,337.33
2012-02-23,339.04
2012-02-24,338.82
2012-02-27,339.75
2012-02-28,342.12
2012-02-29,341.38
2012-03-01,343.86
2012-03-02,343.47
2012-03-05,343.21
2012-03-06,338.07
2012-03-07,341.34
2012-03-08,344.88
2012-03-09,346.75
2012-03-12,345.86
2012-03-13,351.14
2012-03-14,350.9
2012-03-15,352.17
2012-03-16,350.9
2012-03-19,352.54
2012-03-20,353.14
2012-03-21,353.56
2012-03-22,352.78
2012-03-23,353.19
2012-03-26,358.91
2012-03-27,358.17
2012-03-28,355.12
2012-03-29,355.1
2012-03-30,356.55
2012-04-02,357.55
2012-04-03,357.27
2012-04-04,353.57
2012-04-05,356.03
2012-04-09,352.54
2012-04-10,343.95
2012-04-11,348.55
2012-04-12,353.27
2012-04-13,352.29
2012-04-16,350.99
2012-04-17,354.82
2012-04-18,355.35
2012-04-19,352.31
2012-04-20,352.97
2012-04-23,349.14
2012-04-24,347.94
2012-04-25,353.84
2012-04-26,358.01
2012-04-27,362.73
2012-04-30,360.96
2012-05-01,362.88
2012-05-02,364.84
2012-05-03,362.23
2012-05-04,355.06
2012-05-07,354.97
2012-05-08,350.55
2012-05-09,348.92
2012-05-10,350.34
2012-05-11,349.85
2012-05-14,344.81
2012-05-15,344.03
2012-05-16,343.74
2012-05-17,334.31
2012-05-18,332.31
2012-05-21,337.64
2012-05-22,338.71
2012-05-23,340.7
2012-05-24,342.37
2012-05-25,341.97
2012-05-29,346.43
2012-05-30,340.89
2012-05-31,339.78
2012-06-01,329.22
2012-06-04,330.82
2012-06-05,332.05
2012-06-06,339.6
2012-06-07,339.16
2012-06-08,342.2
2012-06-11,336.87
2012-06-12,340.82
2012-06-13,335.6
2012-06-14,340.25
2012-06-15,343.53
2012-06-18,345.87
2012-06-19,349.09
2012-06-20,348.8
2012-06-21,341.02
2012-06-22,342.68
2012-06-25,337.4
2012-06-26,341.36
2012-06-27,341.16
2012-06-28,339.52
2012-06-29,345.81
2012-07-02,347.2
2012-07-03,346.77
2012-07-05,347.54
2012-07-06,346.17
2012-07-09,344.32
2012-07-10,342.39
2012-07-11,340.52
2012-07-12,339.31
2012-07-13,344.76
2012-07-16,342.77
2012-07-17,346.15
2012-07-18,347.84
2012-07-19,350.36
2012-07-20,345.87
2012-07-23,341.24
2012-07-24,338.75
2012-07-25,337.53
2012-07-26,343.36
2012-07-27,350
2012-07-30,348.78
2012-07-31,344.64
2012-08-01,342.81
2012-08-02,343.54
2012-08-03,350.35
2012-08-06,351.58
2012-08-07,354.8
2012-08-08,353.23
2012-08-09,352.85
2012-08-10,352.93
2012-08-13,352.82
2012-08-14,353.41
2012-08-15,354.72
2012-08-16,357.64
2012-08-17,359.28
2012-08-20,357.56
2012-08-21,356.94
2012-08-22,357.88
2012-08-23,355.59
2012-08-24,358.38
2012-08-27,357.85
2012-08-28,358.37
2012-08-29,360.1
2012-08-30,358.05
2012-08-31,359.12
2012-09-04,358.48
2012-09-05,359.01
2012-09-06,367.13
2012-09-07,369.17
2012-09-10,368.29
2012-09-11,368.33
2012-09-12,369.59
2012-09-13,374.86
2012-09-14,376.47
2012-09-17,374.81
2012-09-18,373.06
2012-09-19,376.8
2012-09-20,376.48
2012-09-21,376.26
2012-09-24,374.93
2012-09-25,370.62
2012-09-26,368.13
2012-09-27,371.89
2012-09-28,370.26
2012-10-01,370.24
2012-10-02,369.33
2012-10-03,372.33
2012-10-04,375.55
2012-10-05,376.79
2012-10-08,375.74
2012-10-09,369.97
2012-10-10,367.47
2012-10-11,365.75
2012-10-12,365.78
2012-10-15,369.64
2012-10-16,372.76
2012-10-17,375
2012-10-18,375.06
2012-10-19,368.73
2012-10-22,367.21
2012-10-23,364.22
2012-10-24,362.71
2012-10-25,361.98
2012-10-26,363.05
2012-10-31,364.23
2012-11-01,368.82
2012-11-02,368.13
2012-11-05,369.24
2012-11-06,371.37
2012-11-07,366.8
2012-11-08,360.92
2012-11-09,359.5
2012-11-12,359.55
2012-11-13,360.41
2012-11-14,354.97
2012-11-15,354.7
2012-11-16,357.16
2012-11-19,364.8
2012-11-20,366.67
2012-11-21,367.93
2012-11-23,372.73
2012-11-26,371.03
2012-11-27,369.41
2012-11-28,374.12
2012-11-29,375.02
2012-11-30,375.15
2012-12-03,373.16
2012-12-04,371.76
2012-12-05,370.52
2012-12-06,372.66
2012-12-07,373.73
2012-12-10,371.67
2012-12-11,372.68
2012-12-12,373.03
2012-12-13,370.69
2012-12-14,369.13
2012-12-17,375.94
2012-12-18,380.13
2012-12-19,377.29
2012-12-20,378.36
2012-12-21,374.54
2012-12-24,375.26
2012-12-26,371.57
2012-12-27,371.97
2012-12-28,368.67
2012-12-31,376.06
2013-01-02,384.23
2013-01-03,385.02
2013-01-04,386.34
2013-01-07,385.28
2013-01-08,384.29
2013-01-09,384.96
2013-01-10,387.07
2013-01-11,387.63
2013-01-14,388.48
2013-01-15,391.15
2013-01-16,390.33
2013-01-17,394.52
2013-01-18,395.22
2013-01-22,396.08
2013-01-23,396.41
2013-01-24,399.27
2013-01-25,403.37
2013-01-28,401.53
2013-01-29,400.05
2013-01-30,399.35
2013-01-31,397.27
2013-02-01,399.62
2013-02-04,394.8
2013-02-05,399.09
2013-02-06,399.84
2013-02-07,398.74
2013-02-08,401.87
2013-02-11,400.66
2013-02-12,402.16
2013-02-13,403.02
2013-02-14,403.05
2013-02-15,403.53
2013-02-19,405.31
2013-02-20,398.97
2013-02-21,395.55
2013-02-22,397.84
2013-02-25,391.33
2013-02-26,395.16
2013-02-27,401.12
2013-02-28,401.16
2013-03-01,403.55
2013-03-04,407.38
2013-03-05,411.49
2013-03-06,411.16
2013-03-07,411.78
2013-03-08,416.31
2013-03-11,417.38
2013-03-12,415.94
2013-03-13,418.05
2013-03-14,418.68
2013-03-15,416.93
2013-03-18,413.91
2013-03-19,410.87
2013-03-20,415.6
2013-03-21,412.19
2013-03-22,417
2013-03-25,416.26
2013-03-26,418.51
2013-03-27,418.73
2013-03-28,420.27
2013-04-01,417.03
2013-04-02,420.59
2013-04-03,416.31
2013-04-04,418.71
2013-04-05,417.01
2013-04-08,421.5
2013-04-09,420.47
2013-04-10,425.28
2013-04-11,428.95
2013-04-12,431.03
2013-04-15,419.97
2013-04-16,425.83
2013-04-17,421.73
2013-04-18,416.76
2013-04-19,421.95
2013-04-22,423.78
2013-04-23,428.08
2013-04-24,428.19
2013-04-25,431.92
2013-04-26,430.13
2013-04-29,431.67
2013-04-30,432.6
2013-05-01,430.45
2013-05-02,434.56
2013-05-03,440.1
2013-05-06,441.31
2013-05-07,444.73
2013-05-08,445.55
2013-05-09,446.1
2013-05-10,449.74
2013-05-13,449.7
2013-05-14,454.22
2013-05-15,456.78
