Effective date ,value
3/31/2011,308.85
4/1/2011,310.67
4/4/2011,311.29
4/5/2011,311.66
4/6/2011,312.87
4/7/2011,313.17
4/8/2011,312.26
4/11/2011,314.02
4/12/2011,314.85
4/13/2011,315.06
4/14/2011,317.04
4/15/2011,318.65
4/18/2011,316.5
4/19/2011,316.96
4/20/2011,318.8
4/21/2011,318.84
4/25/2011,317.79
4/26/2011,319.61
4/27/2011,321.25
4/28/2011,323.68
4/29/2011,324.45
5/2/2011,324.95
5/3/2011,325.92
5/4/2011,325.67
5/5/2011,322.97
5/6/2011,323.74
5/9/2011,324.94
5/10/2011,326.76
5/11/2011,326.37
5/12/2011,330.71
5/13/2011,330.48
5/16/2011,330.34
5/17/2011,331.25
5/18/2011,331.9
5/19/2011,333.63
5/20/2011,332.5
5/23/2011,330.23
5/24/2011,329.89
5/25/2011,327.64
5/26/2011,328.15
5/27/2011,329.15
5/31/2011,332.13
6/1/2011,328.55
6/2/2011,324.86
6/3/2011,321.91
6/6/2011,320.37
6/7/2011,319.71
6/8/2011,319.74
6/9/2011,321.43
6/10/2011,317.8
6/13/2011,318.86
6/14/2011,322.17
6/15/2011,317.37
6/16/2011,319.87
6/17/2011,321.62
6/20/2011,323.87
6/21/2011,323.42
6/22/2011,321.3
6/23/2011,318.27
6/24/2011,316.02
6/27/2011,317.41
6/28/2011,318.42
6/29/2011,319.81
6/30/2011,322.66
7/1/2011,325.08
7/5/2011,324.84
7/6/2011,326.74
7/7/2011,328.82
7/8/2011,327.71
7/11/2011,325.31
7/12/2011,324.18
7/13/2011,324.28
7/14/2011,322.81
7/15/2011,323.6
7/18/2011,321.56
7/19/2011,326.3
7/20/2011,325.03
7/21/2011,327.23
7/22/2011,326.71
7/25/2011,323.45
7/26/2011,322.61
7/27/2011,319.25
7/28/2011,319.32
7/29/2011,317.34
8/1/2011,316.26
8/2/2011,312.19
8/3/2011,313.92
8/4/2011,304.34
8/5/2011,309.29
8/8/2011,297.47
8/9/2011,304.08
8/10/2011,293.02
8/11/2011,302.03
8/12/2011,305.03
8/15/2011,309.42
8/16/2011,309.81
8/17/2011,312.14
8/18/2011,306.59
8/19/2011,304.86
8/22/2011,305.76
8/23/2011,312.51
8/24/2011,313.78
8/25/2011,308.94
8/26/2011,311.31
8/29/2011,316.92
8/30/2011,317.58
8/31/2011,318.5
9/1/2011,317.26
9/2/2011,313.03
9/6/2011,311.75
9/7/2011,316.6
9/8/2011,316.02
9/9/2011,308.94
9/12/2011,309.38
9/13/2011,309.97
9/14/2011,313.76
9/15/2011,317.77
9/16/2011,319.4
9/19/2011,316.56
9/20/2011,316.98
9/21/2011,311.39
9/22/2011,305.54
9/23/2011,305.21
9/26/2011,310.74
9/27/2011,312.73
9/28/2011,307.3
9/29/2011,310.33
9/30/2011,306.71
10/3/2011,302.2
10/4/2011,304.32
10/5/2011,304.96
10/6/2011,308.08
10/7/2011,309.86
10/10/2011,314.68
10/11/2011,313.92
10/12/2011,316.51
10/13/2011,316.15
10/14/2011,318.45
10/17/2011,315.53
10/18/2011,317.95
10/19/2011,316.84
10/20/2011,318.35
10/21/2011,323.3
10/24/2011,321.48
10/25/2011,317.81
10/26/2011,320.65
10/27/2011,324.67
10/28/2011,324.03
10/31/2011,319.89
11/1/2011,314.36
11/2/2011,316.92
11/3/2011,320.81
11/4/2011,319.18
11/7/2011,321.32
11/8/2011,324.6
11/9/2011,317.15
11/10/2011,319.92
11/11/2011,323.52
11/14/2011,321.38
11/15/2011,322.64
11/16/2011,319.97
11/17/2011,318.43
11/18/2011,319.76
11/21/2011,314.84
11/22/2011,315.06
11/23/2011,311.48
11/25/2011,312.09
11/28/2011,316.89
11/29/2011,320.01
11/30/2011,327.6
12/1/2011,326.62
12/2/2011,325.91
12/5/2011,327.22
12/6/2011,327.94
12/7/2011,328.31
12/8/2011,325.01
12/9/2011,328.12
12/12/2011,325.64
12/13/2011,324.67
12/14/2011,322.99
12/15/2011,326.15
12/16/2011,326.39
12/19/2011,325.01
12/20/2011,331.12
12/21/2011,334.76
12/22/2011,333.94
12/23/2011,336.96
12/27/2011,336.82
12/28/2011,335.11
