Effective date ,value
2011-03-31,589.31
2011-04-01,591.66
2011-04-04,591.55
2011-04-05,593.57
2011-04-06,587.97
2011-04-07,589.13
2011-04-08,591.18
2011-04-11,580.27
2011-04-12,562.93
2011-04-13,564.47
2011-04-14,567.88
2011-04-15,573.06
2011-04-18,564.35
2011-04-19,570.5
2011-04-20,582.98
2011-04-21,586.74
2011-04-25,583.39
2011-04-26,590.11
2011-04-27,590.04
2011-04-28,589.1
2011-04-29,598.02
2011-05-02,590.2
2011-05-03,576.31
2011-05-04,567.25
2011-05-05,554.44
2011-05-06,556.46
2011-05-09,565.4
2011-05-10,568.06
2011-05-11,551.34
2011-05-12,550.99
2011-05-13,548.64
2011-05-16,544.23
2011-05-17,543.36
2011-05-18,554.08
2011-05-19,554.77
2011-05-20,553.32
2011-05-23,545.14
2011-05-24,552.44
2011-05-25,560.47
2011-05-26,563.45
2011-05-27,564.6
2011-05-31,570.47
2011-06-01,557.31
2011-06-02,556.32
2011-06-03,556.49
2011-06-06,545.22
2011-06-07,544.54
2011-06-08,546.84
2011-06-09,553.6
2011-06-10,543.2
2011-06-13,535.78
2011-06-14,546.43
2011-06-15,534.24
2011-06-16,535.64
2011-06-17,534.25
2011-06-20,536.24
2011-06-21,546.03
2011-06-22,543.68
2011-06-23,537.4
2011-06-24,527.05
2011-06-27,530.8
2011-06-28,545.13
2011-06-29,551.14
2011-06-30,559.46
2011-07-01,564.86
2011-07-05,567.43
2011-07-06,566.42
2011-07-07,574.11
2011-07-08,570.15
2011-07-11,558.5
2011-07-12,556.77
2011-07-13,560.58
2011-07-14,557.8
2011-07-15,570.84
2011-07-18,568.3
2011-07-19,577.87
2011-07-20,575.99
2011-07-21,587.34
2011-07-22,590.09
2011-07-25,587.27
2011-07-26,584.29
2011-07-27,573.62
2011-07-28,569.6
2011-07-29,563.02
2011-08-01,562.54
2011-08-02,547.49
2011-08-03,544.4
2011-08-04,507.44
2011-08-05,506.81
2011-08-08,464.88
2011-08-09,486.39
2011-08-10,468
2011-08-11,492.2
2011-08-12,495.53
2011-08-15,512.34
2011-08-16,503.65
2011-08-17,505.96
2011-08-18,477.22
2011-08-19,469.33
2011-08-22,466.75
2011-08-23,488.13
2011-08-24,490.24
2011-08-25,479.27
2011-08-26,487.62
2011-08-29,501.57
2011-08-30,503.21
2011-08-31,506.52
2011-09-01,502.12
2011-09-02,489.4
2011-09-06,483.84
2011-09-07,501.5
2011-09-08,495.38
2011-09-09,479.28
2011-09-12,481.82
2011-09-13,483.01
2011-09-14,489.21
2011-09-15,499
2011-09-16,498.61
2011-09-19,491.32
2011-09-20,488.29
2011-09-21,468.86
2011-09-22,444.02
2011-09-23,440.57
2011-09-26,456.24
2011-09-27,463.12
2011-09-28,449.2
2011-09-29,455.47
2011-09-30,442.79
2011-10-03,428.25
2011-10-04,441.75
2011-10-05,456.5
2011-10-06,463.77
2011-10-07,458.1
2011-10-10,478.54
2011-10-11,478.77
2011-10-12,482.46
2011-10-13,480.97
2011-10-14,498.17
2011-10-17,489.74
2011-10-18,504.5
2011-10-19,499.85
2011-10-20,503.17
2011-10-21,512.36
2011-10-24,518.25
2011-10-25,507.86
2011-10-26,519.27
2011-10-27,539.32
2011-10-28,541.85
2011-10-31,517.85
2011-11-01,501.74
2011-11-02,516.05
2011-11-03,528.9
2011-11-04,528.15
2011-11-07,531.96
2011-11-08,539.15
2011-11-09,516.19
2011-11-10,525.25
2011-11-11,534.89
2011-11-14,528.4
2011-11-15,527.6
2011-11-16,519.55
2011-11-17,508.53
2011-11-18,506.09
2011-11-21,497.56
2011-11-22,492.81
2011-11-23,478.52
2011-11-25,474.51
2011-11-28,491.48
2011-11-29,498.99
2011-11-30,526.41
2011-12-01,522.76
2011-12-02,522.32
2011-12-05,528.47
2011-12-06,528.85
2011-12-07,525.03
2011-12-08,511.58
2011-12-09,522.91
2011-12-12,510.61
2011-12-13,507.98
2011-12-14,494.18
2011-12-15,493.02
2011-12-16,497.4
2011-12-19,489.2
2011-12-20,508.52
2011-12-21,514.42
2011-12-22,520.29
2011-12-23,524.47
2011-12-27,525.49
2011-12-28,515.62
2011-12-29,521.62
2011-12-30,520.81
2012-01-03,534.38
2012-01-04,535.16
2012-01-05,531.91
2012-01-06,529.04
2012-01-09,532.06
2012-01-10,535.89
2012-01-11,528.84
2012-01-12,524.36
2012-01-13,522.47
2012-01-17,526.3
2012-01-18,534.25
2012-01-19,536.43
2012-01-20,537
2012-01-23,540.54
2012-01-24,539.1
2012-01-25,544.78
2012-01-26,537.56
2012-01-27,535.34
2012-01-30,533.06
2012-01-31,528.53
2012-02-01,530.95
2012-02-02,533.51
2012-02-03,543.29
2012-02-06,549.34
2012-02-07,552.03
2012-02-08,549.01
2012-02-09,548.72
2012-02-10,542.98
2012-02-13,547.41
2012-02-14,548.53
2012-02-15,546.77
2012-02-16,553.53
2012-02-17,555.03
2012-02-21,559.62
2012-02-22,560.74
2012-02-23,563.49
2012-02-24,565.66
2012-02-27,563.98
2012-02-28,563.14
2012-02-29,557.36
2012-03-01,562.47
2012-03-02,556.19
2012-03-05,554.41
2012-03-06,545.37
2012-03-07,548.83
2012-03-08,551.56
2012-03-09,550.8
2012-03-12,549.18
2012-03-13,556.16
2012-03-14,550.59
2012-03-15,551.31
2012-03-16,557.69
2012-03-19,560.98
