Effective date ,value
2011-03-31,220.71
2011-04-01,222.48
2011-04-04,222.32
2011-04-05,222.09
2011-04-06,224.62
2011-04-07,223.63
2011-04-08,221.7
2011-04-11,221.58
2011-04-12,220.72
2011-04-13,219
2011-04-14,217.13
2011-04-15,217.27
2011-04-18,214.31
2011-04-19,215.1
2011-04-20,215.65
2011-04-21,216.86
2011-04-25,216.56
2011-04-26,217.79
2011-04-27,219.18
2011-04-28,220.94
2011-04-29,220.49
2011-05-02,219.67
2011-05-03,220.52
2011-05-04,218.45
2011-05-05,215.97
2011-05-06,216.69
2011-05-09,216.3
2011-05-10,218.34
2011-05-11,215.44
2011-05-12,215.25
2011-05-13,212.08
2011-05-16,211.82
2011-05-17,213.34
2011-05-18,214.39
2011-05-19,214.51
2011-05-20,211.36
2011-05-23,208.55
2011-05-24,208.24
2011-05-25,208.34
2011-05-26,209.35
2011-05-27,211.05
2011-05-31,213.09
2011-06-01,205.67
2011-06-02,205.99
2011-06-03,204.6
2011-06-06,200.53
2011-06-07,200.14
2011-06-08,198.26
2011-06-09,200.62
2011-06-10,199.2
2011-06-13,201.27
2011-06-14,202.29
2011-06-15,197.86
2011-06-16,198.99
2011-06-17,200.82
2011-06-20,200.67
2011-06-21,203.44
2011-06-22,202.1
2011-06-23,200.14
2011-06-24,198.77
2011-06-27,201.02
2011-06-28,201.85
2011-06-29,206.08
2011-06-30,206.87
2011-07-01,210.45
2011-07-05,208.69
2011-07-06,207.54
2011-07-07,210.81
2011-07-08,208.06
2011-07-11,202.22
2011-07-12,201.65
2011-07-13,201.98
2011-07-14,200.42
2011-07-15,199.93
2011-07-18,197.17
2011-07-19,199.85
2011-07-20,202
2011-07-21,207
2011-07-22,206.45
2011-07-25,204.71
2011-07-26,204.36
2011-07-27,199.6
2011-07-28,199.69
2011-07-29,199.18
2011-08-01,198.52
2011-08-02,193.02
2011-08-03,194.03
2011-08-04,183.98
2011-08-05,180.79
2011-08-08,162.74
2011-08-09,176.1
2011-08-10,163.58
2011-08-11,173.83
2011-08-12,171.75
2011-08-15,177.31
2011-08-16,173.9
2011-08-17,174.95
2011-08-18,166.18
2011-08-19,163.04
2011-08-22,160.97
2011-08-23,166.19
2011-08-24,170.89
2011-08-25,170.11
2011-08-26,171.82
2011-08-29,178.99
2011-08-30,177.67
2011-08-31,179.83
2011-09-01,175.56
2011-09-02,168.53
2011-09-06,165.55
2011-09-07,173.51
2011-09-08,169.56
2011-09-09,164.21
2011-09-12,166.22
2011-09-13,167.27
2011-09-14,169.32
2011-09-15,173.66
2011-09-16,174
2011-09-19,169.23
2011-09-20,168.81
2011-09-21,160.47
2011-09-22,155.68
2011-09-23,157.48
2011-09-26,164.43
2011-09-27,165.1
2011-09-28,160.3
2011-09-29,164.85
2011-09-30,159.05
2011-10-03,151.85
2011-10-04,158.08
2011-10-05,159.98
2011-10-06,165.14
2011-10-07,159.08
2011-10-10,167.26
2011-10-11,167.15
2011-10-12,171.61
2011-10-13,167.53
2011-10-14,169.9
