Effective date ,value
2011-03-31,325.8
2011-04-01,328.74
2011-04-04,329.13
2011-04-05,327.72
2011-04-06,328.31
2011-04-07,326.75
2011-04-08,324.01
2011-04-11,323.71
2011-04-12,321.21
2011-04-13,320.44
2011-04-14,320.37
2011-04-15,321.54
2011-04-18,317.25
2011-04-19,320.05
2011-04-20,324.8
2011-04-21,325.49
2011-04-25,324.54
2011-04-26,330.31
2011-04-27,332.35
2011-04-28,333.46
2011-04-29,334.56
2011-05-02,334.18
2011-05-03,333.03
2011-05-04,328.39
2011-05-05,326.38
2011-05-06,328.88
2011-05-09,330.32
2011-05-10,332.87
2011-05-11,329.19
2011-05-12,329.42
2011-05-13,325.71
2011-05-16,324.42
2011-05-17,320.3
2011-05-18,323.85
2011-05-19,326.04
2011-05-20,322.79
2011-05-23,318.4
2011-05-24,316.4
2011-05-25,318.86
2011-05-26,319.97
2011-05-27,321.28
2011-05-31,324.53
2011-06-01,314.12
2011-06-02,315.38
2011-06-03,311.26
2011-06-06,308.87
2011-06-07,308.59
2011-06-08,306.28
2011-06-09,308.44
2011-06-10,303.66
2011-06-13,303.9
2011-06-14,309.42
2011-06-15,304.9
2011-06-16,305.79
2011-06-17,306.98
2011-06-20,309.45
2011-06-21,314.31
2011-06-22,312.45
2011-06-23,311.57
2011-06-24,307.8
2011-06-27,310.58
2011-06-28,315.1
2011-06-29,316.56
2011-06-30,321.86
2011-07-01,327.47
2011-07-05,325.52
2011-07-06,327.22
2011-07-07,330.54
2011-07-08,326.65
2011-07-11,320.65
2011-07-12,317.36
2011-07-13,318.54
2011-07-14,315.45
2011-07-15,315.62
2011-07-18,312.09
2011-07-19,316.07
2011-07-20,316.84
2011-07-21,321.5
2011-07-22,318.38
2011-07-25,317.93
2011-07-26,311.75
2011-07-27,303.34
2011-07-28,300.7
2011-07-29,299.25
2011-08-01,297.71
2011-08-02,287.47
2011-08-03,289.68
2011-08-04,274.14
2011-08-05,274.33
2011-08-08,255.49
2011-08-09,267.27
2011-08-10,254.16
2011-08-11,265.69
2011-08-12,270.52
