Effective date ,value
2011-03-31,249.36
2011-04-01,250.2
2011-04-04,251.94
2011-04-05,254.77
2011-04-06,252.7
2011-04-07,252.23
2011-04-08,250.66
2011-04-11,247.58
2011-04-12,244.25
2011-04-13,242.73
2011-04-14,243.45
2011-04-15,245.01
2011-04-18,241.92
2011-04-19,246.18
2011-04-20,249.19
2011-04-21,251.89
2011-04-25,250.21
2011-04-26,252.82
2011-04-27,253.25
2011-04-28,253.91
2011-04-29,254.48
2011-05-02,252.88
2011-05-03,250.4
2011-05-04,246.16
2011-05-05,243.1
2011-05-06,244.88
2011-05-09,248.66
2011-05-10,250.4
2011-05-11,243.55
2011-05-12,243.63
2011-05-13,240.32
2011-05-16,239.43
2011-05-17,236.84
2011-05-18,241.82
2011-05-19,241.94
2011-05-20,239.55
2011-05-23,237.19
2011-05-24,238.3
2011-05-25,241.62
2011-05-26,242.01
2011-05-27,244.5
2011-05-31,247.05
2011-06-01,239.49
2011-06-02,239.8
2011-06-03,236.68
2011-06-06,234.46
2011-06-07,235.21
2011-06-08,232.96
2011-06-09,236.65
2011-06-10,233.69
2011-06-13,232.4
2011-06-14,236.78
2011-06-15,231.35
2011-06-16,229.18
2011-06-17,229.1
2011-06-20,230.93
2011-06-21,236.91
2011-06-22,236.02
2011-06-23,235.83
2011-06-24,234.48
2011-06-27,234.82
2011-06-28,239.01
2011-06-29,242.69
2011-06-30,245.93
2011-07-01,248.17
2011-07-05,248.45
2011-07-06,249.35
2011-07-07,253.05
2011-07-08,251.34
2011-07-11,246.18
2011-07-12,245.35
2011-07-13,247.38
2011-07-14,245.14
2011-07-15,247.49
2011-07-18,244.58
2011-07-19,248
2011-07-20,247.94
2011-07-21,250.82
2011-07-22,249.73
2011-07-25,249.11
2011-07-26,246.51
2011-07-27,240.83
2011-07-28,240.32
2011-07-29,237.59
2011-08-01,236.77
2011-08-02,229.83
2011-08-03,230.82
2011-08-04,215.5
2011-08-05,215.01
2011-08-08,199.35
2011-08-09,211.13
2011-08-10,204.18
2011-08-11,214.16
2011-08-12,215.5
2011-08-15,218.8
2011-08-16,215.56
2011-08-17,216.1
2011-08-18,203.56
2011-08-19,200.64
2011-08-22,200.58
2011-08-23,207.45
2011-08-24,210.21
2011-08-25,208.16
2011-08-26,212.52
2011-08-29,218.85
2011-08-30,220.68
2011-08-31,221.25
2011-09-01,218.36
2011-09-02,213.12
2011-09-06,211.71
2011-09-07,217.36
2011-09-08,214.78
2011-09-09,207.95
2011-09-12,206.34
2011-09-13,209.63
2011-09-14,212.95
2011-09-15,216.5
2011-09-16,217.28
2011-09-19,214.17
2011-09-20,212
2011-09-21,202.46
2011-09-22,191.33
2011-09-23,190.66
2011-09-26,196.57
2011-09-27,200.59
2011-09-28,191.58
2011-09-29,191.62
2011-09-30,184.55
2011-10-03,179.78
2011-10-04,186.35
2011-10-05,194.14
2011-10-06,199.04
2011-10-07,196
2011-10-10,204.16
2011-10-11,204.5
2011-10-12,206.5
2011-10-13,205.43
2011-10-14,210.67
2011-10-17,204.14
2011-10-18,209.1
2011-10-19,202.87
