Effective date ,value
3/31/2011,131.23
4/1/2011,131.65
4/4/2011,131.5
4/5/2011,131.45
4/6/2011,131.08
4/7/2011,129.99
4/8/2011,128.91
4/11/2011,128.86
4/12/2011,128.43
4/13/2011,128.34
4/14/2011,130.13
4/15/2011,131.85
4/18/2011,130.42
4/19/2011,131.55
4/20/2011,133.11
4/21/2011,133.89
4/25/2011,134.74
4/26/2011,136.08
4/27/2011,136.85
4/28/2011,138.33
4/29/2011,137.09
5/2/2011,137.24
5/3/2011,136.26
5/4/2011,135.61
5/5/2011,135.25
5/6/2011,134.36
5/9/2011,135.16
5/10/2011,137.14
5/11/2011,135.3
5/12/2011,135.33
5/13/2011,133.69
5/16/2011,134.32
5/17/2011,134.03
5/18/2011,135.57
5/19/2011,135.82
5/20/2011,134.27
5/23/2011,132.55
5/24/2011,133.18
5/25/2011,133.81
5/26/2011,135.59
5/27/2011,135.58
5/31/2011,137.88
6/1/2011,133.76
6/2/2011,132.97
6/3/2011,133.57
6/6/2011,131.43
6/7/2011,133.48
6/8/2011,132.95
6/9/2011,131.66
6/10/2011,128.4
6/13/2011,128.79
6/14/2011,130.81
6/15/2011,128.43
6/16/2011,129.44
6/17/2011,130.83
6/20/2011,132.25
6/21/2011,133.35
6/22/2011,132.69
6/23/2011,130.1
6/24/2011,129.96
6/27/2011,131
6/28/2011,131.95
6/29/2011,133.52
6/30/2011,134.06
7/1/2011,136.55
7/5/2011,137.25
7/6/2011,137.9
7/7/2011,139.71
7/8/2011,139.03
7/11/2011,136.4
7/12/2011,136.9
7/13/2011,135.56
7/14/2011,134.26
7/15/2011,135.77
7/18/2011,134.61
7/19/2011,137.04
7/20/2011,137.72
7/21/2011,139.2
7/22/2011,139.85
7/25/2011,138.12
7/26/2011,138.31
7/27/2011,134.56
7/28/2011,134.44
7/29/2011,134.67
8/1/2011,131.97
8/2/2011,128.16
8/3/2011,127.59
8/4/2011,121.27
8/5/2011,118.93
8/8/2011,108.85
8/9/2011,118.76
8/10/2011,115.22
8/11/2011,121.17
8/12/2011,120.97
8/15/2011,124.86
8/16/2011,124.36
8/17/2011,124.76
8/18/2011,118.95
8/19/2011,116.68
8/22/2011,117
8/23/2011,120.04
8/24/2011,121.68
8/25/2011,119.32
8/26/2011,121.2
8/29/2011,124.76
8/30/2011,125.24
8/31/2011,126.79
9/1/2011,125.2
9/2/2011,122.25
9/6/2011,122.05
9/7/2011,126.81
9/8/2011,125.61
9/9/2011,121.52
9/12/2011,121.96
9/13/2011,122.26
9/14/2011,123.1
9/15/2011,125.2
9/16/2011,126.4
9/19/2011,123.67
9/20/2011,123.89
9/21/2011,117.4
9/22/2011,114.35
9/23/2011,115.51
9/26/2011,117.23
9/27/2011,118.01
9/28/2011,115.04
9/29/2011,116.86
9/30/2011,113.25
10/3/2011,108.47
10/4/2011,112.5
10/5/2011,111.89
10/6/2011,114.86
10/7/2011,111.69
10/10/2011,117.49
10/11/2011,115.33
10/12/2011,117.35
10/13/2011,116.12
10/14/2011,119.17
10/17/2011,116.02
10/18/2011,120.28
10/19/2011,118.49
10/20/2011,119.37
10/21/2011,123.47
10/24/2011,126.37
10/25/2011,124.2
10/26/2011,125.7
10/27/2011,131.71
10/28/2011,132.54
10/31/2011,131.06
11/1/2011,126.32
11/2/2011,128.76
11/3/2011,130.34
11/4/2011,128.58
11/7/2011,129.02
11/8/2011,130.56
11/9/2011,124.37
11/10/2011,124.53
11/11/2011,127.88
11/14/2011,124.99
11/15/2011,126.28
11/16/2011,124.45
11/17/2011,121.98
11/18/2011,123.09
11/21/2011,119.79
11/22/2011,119.22
11/23/2011,116.06
11/25/2011,116.79
11/28/2011,119.17
11/29/2011,119
11/30/2011,125.15
12/1/2011,123.65
12/2/2011,123.58
12/5/2011,124.23
12/6/2011,124.15
12/7/2011,125.51
12/8/2011,122.61
12/9/2011,125.31
12/12/2011,122.62
12/13/2011,121.36
12/14/2011,122.16
12/15/2011,123.81
12/16/2011,124.77
12/19/2011,123.35
12/20/2011,127.6
12/21/2011,127.94
12/22/2011,129.94
12/23/2011,130.61
12/27/2011,131.27
12/28/2011,129.49
12/29/2011,130.75
12/30/2011,130.15
1/3/2012,130.97
1/4/2012,128.75
1/5/2012,129.94
1/6/2012,129.31
1/9/2012,129.02
1/10/2012,130.83
1/11/2012,131.93
1/12/2012,131.14
1/13/2012,131.63
1/17/2012,132.52
1/18/2012,133.34
1/19/2012,134.09
1/20/2012,134.4
1/23/2012,134.89
1/24/2012,135.8
1/25/2012,137.55
1/26/2012,138.32
1/27/2012,138.6
1/30/2012,137.19
1/31/2012,138.09
2/1/2012,138.87
2/2/2012,139.01
2/3/2012,141.03
2/6/2012,140.31
2/7/2012,140.22
2/8/2012,140.44
2/9/2012,139.48
2/10/2012,138.15
2/13/2012,139.69
2/14/2012,137.99
2/15/2012,137.2
2/16/2012,138.46
2/17/2012,138.53
2/21/2012,136.76
2/22/2012,135.71
2/23/2012,137.36
2/24/2012,137.49
2/27/2012,137.27
2/28/2012,136.05
2/29/2012,135.74
3/1/2012,136.61
3/2/2012,136.64
3/5/2012,137.52
3/6/2012,135.46
3/7/2012,136.11
3/8/2012,135.73
3/9/2012,136.47
3/12/2012,137.33
3/13/2012,140.26
3/14/2012,140.02
3/15/2012,140.12
3/16/2012,140.85
3/19/2012,142.07
3/20/2012,141.56
3/21/2012,141.18
3/22/2012,139.41
3/23/2012,140.07
3/26/2012,141.32
3/27/2012,141.28
3/28/2012,140.77
3/29/2012,140.74
3/30/2012,142.09
4/2/2012,142.98
4/3/2012,142.08
4/4/2012,140.41
4/5/2012,139.97
4/9/2012,138.37
4/10/2012,135.53
4/11/2012,137.5
4/12/2012,139.65
4/13/2012,138.51
4/16/2012,140.53
4/17/2012,141.82
4/18/2012,140.77
4/19/2012,140.68
4/20/2012,142.3
4/23/2012,140.34
4/24/2012,142.62
4/25/2012,144.28
4/26/2012,144.65
4/27/2012,145.65
4/30/2012,145.52
5/1/2012,146.95
5/2/2012,146.68
5/3/2012,145.84
5/4/2012,144.36
5/7/2012,145.61
5/8/2012,145.26
5/9/2012,144.59
5/10/2012,144.8
5/11/2012,145.2
5/14/2012,143.36
5/15/2012,142.67
5/16/2012,140.61
5/17/2012,136.91
5/18/2012,135.57
5/21/2012,138.77
5/22/2012,138.87
5/23/2012,139.26
5/24/2012,139.83
5/25/2012,139.24
5/29/2012,141.37
5/30/2012,138.02
5/31/2012,138.98
6/1/2012,135.13
6/4/2012,134.43
6/5/2012,136.78
6/6/2012,140
6/7/2012,139.37
6/8/2012,141.18
6/11/2012,138.44
6/12/2012,139.87
6/13/2012,138.95
6/14/2012,140.86
6/15/2012,141.86
6/18/2012,142.97
6/19/2012,143.62
6/20/2012,143.46
6/21/2012,140.88
6/22/2012,140.91
6/25/2012,140.1
6/26/2012,140.99
6/27/2012,141.72
6/28/2012,143.01
6/29/2012,146.68
7/2/2012,148.08
7/3/2012,148.8
7/5/2012,147.58
7/6/2012,147.89
7/9/2012,148.37
7/10/2012,146.25
7/11/2012,147.13
7/12/2012,147.57
7/13/2012,149.78
7/16/2012,150.13
7/17/2012,151.6
7/18/2012,150.23
7/19/2012,149.28
7/20/2012,148.39
7/23/2012,147.37
7/24/2012,146.83
7/25/2012,146.69
7/26/2012,148.35
7/27/2012,150.39
7/30/2012,150.62
7/31/2012,150.42
8/1/2012,150.15
8/2/2012,150.27
