Effective date ,value
3/31/2011,161.92
4/1/2011,163.08
4/4/2011,162.95
4/5/2011,162.42
4/6/2011,163.64
4/7/2011,162.86
4/8/2011,162.47
4/11/2011,160.26
4/12/2011,159.89
4/13/2011,160.44
4/14/2011,161.26
4/15/2011,163.02
4/18/2011,161.63
4/19/2011,161.64
4/20/2011,163.45
4/21/2011,163.74
4/25/2011,163.84
4/26/2011,165.24
4/27/2011,166.53
4/28/2011,167.77
4/29/2011,168.11
5/2/2011,168.24
5/3/2011,169.36
5/4/2011,168.94
5/5/2011,167.7
5/6/2011,168.58
5/9/2011,168.99
5/10/2011,171.22
5/11/2011,170.83
5/12/2011,172.29
5/13/2011,171.54
5/16/2011,171.54
5/17/2011,172.81
5/18/2011,172.23
5/19/2011,172.58
5/20/2011,172.53
5/23/2011,170.47
5/24/2011,170.18
5/25/2011,169.67
5/26/2011,169.53
5/27/2011,169.68
5/31/2011,170.84
6/1/2011,168.99
6/2/2011,168.52
6/3/2011,167.33
6/6/2011,166.53
6/7/2011,166.74
6/8/2011,166.97
6/9/2011,167.06
6/10/2011,166.1
6/13/2011,166.73
6/14/2011,167.4
6/15/2011,165.35
6/16/2011,166.7
6/17/2011,167.76
6/20/2011,168.69
6/21/2011,168.82
6/22/2011,167.66
6/23/2011,166.23
6/24/2011,166.6
6/27/2011,167.88
6/28/2011,168.65
6/29/2011,169.4
6/30/2011,170.03
7/1/2011,172.12
7/5/2011,171.1
7/6/2011,171.43
7/7/2011,172.03
7/8/2011,171.44
7/11/2011,169.53
7/12/2011,170.31
7/13/2011,169.91
7/14/2011,169.15
7/15/2011,169.41
7/18/2011,167.81
7/19/2011,169.18
7/20/2011,170.16
7/21/2011,172.78
7/22/2011,171.81
7/25/2011,172.27
7/26/2011,171.64
7/27/2011,171.04
7/28/2011,169.82
7/29/2011,168.15
8/1/2011,168.65
8/2/2011,165.94
8/3/2011,165.74
8/4/2011,160.38
8/5/2011,161.78
8/8/2011,152.93
8/9/2011,157.85
8/10/2011,154.61
8/11/2011,161.14
8/12/2011,160.15
8/15/2011,165.72
8/16/2011,165.22
8/17/2011,166.58
8/18/2011,164.46
8/19/2011,163.2
8/22/2011,163.01
8/23/2011,166
8/24/2011,169.29
8/25/2011,166.72
8/26/2011,166.55
8/29/2011,169.78
